threshold,seed,split,model,acc,macro_f1,n_clusters
0.3,4,cluster,Linear SVM,0.44315461943513645,0.28144448193668553,9533
0.3,4,cluster,ESM-2 650M frozen + linear probe,0.7134992819530876,0.5871199476644782,9533
0.3,5,cluster,1-NN (memorisation probe),0.3131510416666667,0.24140681587158888,9533
0.3,5,cluster,Logistic Regression,0.34856770833333334,0.22636005722456654,9533
0.3,5,cluster,Linear SVM,0.313671875,0.24132371364985192,9533
0.3,5,cluster,ESM-2 650M frozen + linear probe,0.6423177083333333,0.5706294151055257,9533
0.3,6,cluster,1-NN (memorisation probe),0.2984550561797753,0.23174408046073305,9533
0.3,6,cluster,Logistic Regression,0.3470505617977528,0.20921878565263657,9533
0.3,6,cluster,Linear SVM,0.33103932584269663,0.2427453837546958,9533
0.3,6,cluster,ESM-2 650M frozen + linear probe,0.6492977528089887,0.5582094843509657,9533
0.3,7,cluster,1-NN (memorisation probe),0.3379578800279469,0.2649377505672371,9533
0.3,7,cluster,Logistic Regression,0.3839704561333466,0.22665277711819504,9533
0.3,7,cluster,Linear SVM,0.38806268090627805,0.24394332084089557,9533
0.3,7,cluster,ESM-2 650M frozen + linear probe,0.7385966663339655,0.6134808479732307,9533
0.3,8,cluster,1-NN (memorisation probe),0.406841046277666,0.3056021689755306,9533
0.3,8,cluster,Logistic Regression,0.4357142857142857,0.2606298953585407,9533
0.3,8,cluster,Linear SVM,0.4191146881287726,0.2894054759295706,9533
0.3,8,cluster,ESM-2 650M frozen + linear probe,0.6994969818913481,0.6067331254263497,9533
0.3,9,cluster,1-NN (memorisation probe),0.3265993265993266,0.2705393370388801,9533
0.3,9,cluster,Logistic Regression,0.3681257014590348,0.2229702638959335,9533
0.3,9,cluster,Linear SVM,0.35266242673650083,0.2520597939526455,9533
0.3,9,cluster,ESM-2 650M frozen + linear probe,0.6712807083177453,0.5790263043452375,9533
0.2,0,cluster,1-NN (memorisation probe),0.2880697050938338,0.20980006705994123,7755
0.2,0,cluster,Logistic Regression,0.37144772117962466,0.2041630437094724,7755
0.2,0,cluster,Linear SVM,0.3329758713136729,0.21509949159085623,7755
0.2,0,cluster,ESM-2 650M frozen + linear probe,0.6379356568364611,0.5442041542647711,7755
0.2,1,cluster,1-NN (memorisation probe),0.285769528228925,0.2276564466775138,7755
0.2,1,cluster,Logistic Regression,0.3236658932714617,0.19548660525520395,7755
0.2,1,cluster,Linear SVM,0.3020108275328693,0.2207849849939078,7755
0.2,1,cluster,ESM-2 650M frozen + linear probe,0.6067285382830626,0.5559447291886626,7755
0.2,2,cluster,1-NN (memorisation probe),0.3924930491195551,0.2784802341118975,7755
0.2,2,cluster,Logistic Regression,0.46014828544949027,0.27460383415074585,7755
